Date,Open,High,Low,Close,Volume,overall_sentiment_score
2023-10-03,172.255,173.63,170.82,172.4,49594613.0,
2023-10-02,171.22,174.3,170.93,173.75,52164535.0,
2023-09-29,172.02,173.07,170.341,171.21,51861083.0,
2023-09-28,169.34,172.03,167.62,170.69,56294419.0,
2023-09-27,172.62,173.04,169.05,170.43,66921808.0,
2023-09-26,174.82,175.2,171.66,171.96,64588945.0,
2023-09-25,174.2,176.97,174.15,176.08,46172740.0,
2023-09-22,174.67,177.079,174.05,174.79,56725385.0,
2023-09-21,174.55,176.3,173.86,173.93,63149116.0,
2023-09-20,179.26,179.695,175.4,175.49,58436181.0,
2023-09-19,177.52,179.63,177.13,179.07,51826941.0,
2023-09-18,176.48,179.38,176.17,177.97,67257573.0,
2023-09-15,176.48,176.495,173.82,175.01,109259461.0,
2023-09-14,174.0,176.1,173.58,175.74,60895757.0,
2023-09-13,176.51,177.3,173.98,174.21,84267928.0,
2023-09-12,179.49,180.13,174.82,176.3,90370192.0,
2023-09-11,180.07,180.3,177.34,179.36,58953052.0,
2023-09-08,178.35,180.239,177.79,178.18,65602066.0,
2023-09-07,175.18,178.21,173.54,177.56,112488803.0,
2023-09-06,188.4,188.85,181.47,182.91,81755816.0,
2023-09-05,188.28,189.98,187.61,189.7,45280027.0,
2023-09-01,189.485,189.92,188.28,189.46,45766503.0,
2023-08-31,187.84,189.12,187.48,187.87,60794467.0,
2023-08-30,184.94,187.85,184.74,187.65,60813888.0,
2023-08-29,179.695,184.9,179.5,184.12,53003948.0,
2023-08-28,180.09,180.59,178.545,180.19,43820697.0,
2023-08-25,177.38,179.15,175.82,178.61,51449594.0,
2023-08-24,180.674,181.104,176.01,176.38,54945798.0,
2023-08-23,178.52,181.55,178.325,181.12,52722752.0,
2023-08-22,177.06,177.68,176.25,177.23,42084245.0,
2023-08-21,175.07,176.13,173.735,175.84,46311879.0,
2023-08-18,172.3,175.1,171.96,174.49,61172150.0,
2023-08-17,177.14,177.5054,173.48,174.0,66062882.0,
2023-08-16,177.13,178.54,176.5,176.57,46964857.0,
2023-08-15,178.88,179.48,177.05,177.45,43622593.0,
2023-08-14,177.97,179.69,177.305,179.46,43675627.0,
2023-08-11,177.32,178.62,176.55,177.79,52036672.0,
2023-08-10,179.48,180.75,177.6,177.97,54686851.0,
2023-08-09,180.87,180.93,177.01,178.19,60378492.0,
2023-08-08,179.69,180.27,177.58,179.8,67823003.0,
2023-08-07,182.13,183.13,177.35,178.85,97576069.0,
2023-08-04,185.52,187.38,181.92,181.99,115956841.0,
2023-08-03,191.57,192.37,190.69,191.17,62243282.0,
2023-08-02,195.04,195.18,191.8507,192.58,50389327.0,
2023-08-01,196.235,196.73,195.28,195.605,35281426.0,
2023-07-31,196.06,196.49,195.26,196.45,38824113.0,
2023-07-28,194.67,196.626,194.14,195.83,48291443.0,
2023-07-27,196.02,197.2,192.55,193.22,47460180.0,
2023-07-26,193.67,195.64,193.32,194.5,47471868.0,
2023-07-25,193.33,194.44,192.915,193.62,37283201.0,
2023-07-24,193.41,194.91,192.25,192.75,45505097.0,
2023-07-21,194.1,194.97,191.23,191.94,71951683.0,
2023-07-20,195.09,196.47,192.495,193.13,59581196.0,
2023-07-19,193.1,198.23,192.65,195.1,80507323.0,
2023-07-18,193.35,194.33,192.415,193.73,48353774.0,
2023-07-17,191.9,194.32,191.81,193.99,50520159.0,
2023-07-14,190.23,191.1799,189.63,190.69,41616242.0,
2023-07-13,190.5,191.19,189.78,190.54,41342338.0,
2023-07-12,189.68,191.7,188.47,189.77,60750248.0,
2023-07-11,189.16,189.3,186.6,188.08,46638119.0,
2023-07-10,189.26,189.99,187.035,188.61,59922163.0,
2023-07-07,191.41,192.67,190.24,190.68,46814998.0,
2023-07-06,189.84,192.02,189.2,191.81,45156009.0,
2023-07-05,191.565,192.98,190.62,191.33,46920261.0,
2023-07-03,193.78,193.88,191.76,192.46,31458198.0,
2023-06-30,191.63,194.48,191.26,193.97,85213216.0,
2023-06-29,189.08,190.07,188.94,189.59,46347308.0,
2023-06-28,187.93,189.9,187.6,189.25,51216801.0,
2023-06-27,185.89,188.39,185.67,188.06,50730846.0,
2023-06-26,186.83,188.05,185.23,185.27,48088661.0,
2023-06-23,185.55,187.56,185.01,186.68,53116996.0,
2023-06-22,183.74,187.045,183.67,187.0,51245327.0,
2023-06-21,184.9,185.41,182.5901,183.96,49515697.0,
2023-06-20,184.41,186.1,184.41,185.01,49799092.0,
2023-06-16,186.73,186.99,184.27,184.92,101256225.0,
2023-06-15,183.96,186.52,183.78,186.01,65433166.0,
2023-06-14,183.37,184.39,182.02,183.95,57462882.0,
2023-06-13,182.8,184.15,182.44,183.31,54929129.0,
2023-06-12,181.27,183.89,180.97,183.79,54754995.0,
