Date,Open,High,Low,Close,Volume,overall_sentiment_score
2023-10-03,171.22,174.3,170.82,172.4,101759148.0,
2023-09-29,189.485,189.98,167.62,171.21,1337873796.0,
2023-08-31,196.235,196.73,171.96,187.87,1323817340.0,
2023-07-31,193.78,198.23,186.6,196.45,996368613.0,
2023-06-30,177.7,194.48,176.9306,193.97,1297863403.0,
2023-05-31,169.28,179.35,164.31,177.25,1275052503.0,
2023-04-28,164.27,169.85,159.78,169.68,967580718.0,
2023-03-31,146.83,165.0,143.9,164.9,1520461315.0,
2023-02-28,143.97,157.38,141.32,147.41,1307294493.0,
2023-01-31,130.28,147.23,124.17,144.29,1443652725.0,
2022-12-30,148.21,150.9199,125.87,129.93,1675731304.0,
2022-11-30,155.08,155.45,134.38,148.03,1724948219.0,
2022-10-31,138.21,157.5,134.37,153.34,1868381344.0,
2022-09-30,156.64,164.26,138.0,138.2,2083968147.0,
2022-08-31,161.01,176.15,157.14,157.22,1509735435.0,
2022-07-29,136.04,163.63,135.66,162.51,1447364668.0,
2022-06-30,149.9,151.74,129.04,136.72,1749297959.0,
2022-05-31,156.71,166.48,132.61,148.84,2400305601.0,
2022-04-29,174.03,178.49,155.38,157.65,1683547838.0,
2022-03-31,164.695,179.61,150.1,174.61,2171827429.0,
2022-02-28,174.01,176.65,152.0,165.12,1628570227.0,
2022-01-31,177.83,182.94,154.7,174.78,2106513962.0,
2021-12-31,167.48,182.13,157.8,177.57,2443227128.0,
2021-11-30,148.985,165.7,147.48,165.3,1688864233.0,
2021-10-29,141.9,153.165,138.27,149.8,1565079040.0,
2021-09-30,152.83,157.26,141.27,141.5,1797948421.0,
2021-08-31,146.36,153.49,144.5,151.83,1462773381.0,
2021-07-30,136.6,150.0,135.76,145.86,1916751489.0,
2021-06-30,125.08,137.41,123.13,136.96,1606114354.0,
2021-05-28,132.04,134.07,122.25,124.61,1711935110.0,
2021-04-30,123.66,137.07,122.49,131.46,1889956694.0,
2021-03-31,123.75,128.72,116.21,122.15,2650845211.0,
2021-02-26,133.75,137.877,118.39,121.26,1825486961.0,
2021-01-29,133.52,145.09,126.382,131.96,2239366098.0,
2020-12-31,121.01,138.789,120.01,132.69,2319687808.0,
2020-11-30,109.11,121.99,107.32,119.05,2122724412.0,
2020-10-30,117.64,125.39,107.72,108.86,2895317580.0,
2020-09-30,132.76,137.98,103.1,115.81,3886793083.0,
2020-08-31,432.8,515.14,126.0,129.04,1184207050.0,
2020-07-31,365.12,425.66,356.58,425.04,755162226.0,
2020-06-30,317.75,372.38,317.21,364.8,810900890.0,
2020-05-29,286.25,324.24,285.85,317.94,701660022.0,
