Title,URL,Time Published,Authors,Summary,Banner Image,Source,Category Within Source,Source Domain,Topics,Overall Sentiment Score,Overall Sentiment Label,Ticker Sentiment
App Store developers generated $1.1 trillion in total billings and sales in the App Store ecosystem in 2022,https://investingnews.com/app-store-developers-generated-1-1-trillion-in-total-billings-and-sales-in-the-app-store-ecosystem-in-2022/,20230531T174350,[],"More than 90 percent of billings and sales accrued solely to developers, without any commission paid to Apple New study underscores the strength and resilience of the App Store ecosystem - with billings and sales facilitated by the App Store growing 29 percent year over year",https://investingnews.com/media-library/eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpbWFnZSI6Imh0dHBzOi8vYXNzZXRzLnJibC5tcy8yNTg1ODg1NS9vcmlnaW4ucG5nIiwiZXhwaXJlc19hdCI6MTcwODY4MTIxOX0.Phin9ClvosnPNpkGRdBWHz_VFepTco5fqEYZcXCsZIQ/image.png?width=210,Investing News Network,n/a,investingnews.com,"[{'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.310843'}]",0.314573,Somewhat-Bullish,"[{'ticker': 'AAPL', 'relevance_score': '0.031654', 'ticker_sentiment_score': '0.035078', 'ticker_sentiment_label': 'Neutral'}]"
"Apple Leverages Tmall, China's Hottest Live Shopping Event for a Chinese Comeback - Alibaba Group Holding  ( NYSE:BABA ) , Apple  ( NASDAQ:AAPL ) ",https://www.benzinga.com/news/23/05/32645873/apple-leverages-tmall-chinas-hottest-live-shopping-event-for-a-chinese-comeback,20230531T141410,['Anusuya Lahiri'],Apple Inc AAPL prepares for the debut of its live-shopping event on China's Tmall marketplace this week to tap over 500 million users in the leading internet market.,https://cdn.benzinga.com/files/images/story/2023/05/31/iphone_14_yellow.jpg?width=1200&height=800&fit=crop,Benzinga,News,www.benzinga.com,"[{'topic': 'Technology', 'relevance_score': '1.0'}]",0.253635,Somewhat-Bullish,"[{'ticker': 'BABA', 'relevance_score': '0.416844', 'ticker_sentiment_score': '0.008554', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.535653', 'ticker_sentiment_score': '0.49323', 'ticker_sentiment_label': 'Bullish'}]"
We're adding to our position in this beverage retailer on a 15% pullback,https://www.cnbc.com/2023/05/31/were-adding-to-our-position-in-this-beverage-retailer-.html,20230531T140428,"['Jeff Marks', 'Jim Cramer']",The slide in the company's shares began after it failed to raise its full-year guidance when reporting solid quarterly earnings at the start of the month.,https://image.cnbcfm.com/api/v1/image/107215038-1679688323839-gettyimages-1368207267-dsc_3258.jpeg?v=1685541868&w=1920&h=1080,CNBC,Top News,www.cnbc.com,"[{'topic': 'Retail & Wholesale', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.905476'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.310843'}, {'topic': 'Technology', 'relevance_score': '0.333333'}]",0.157888,Somewhat-Bullish,"[{'ticker': 'MSFT', 'relevance_score': '0.177802', 'ticker_sentiment_score': '0.098073', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'META', 'relevance_score': '0.177802', 'ticker_sentiment_score': '0.098073', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NVDA', 'relevance_score': '0.177802', 'ticker_sentiment_score': '0.098073', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.177802', 'ticker_sentiment_score': '0.098073', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'SBUX', 'relevance_score': '0.568435', 'ticker_sentiment_score': '0.224996', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AMZN', 'relevance_score': '0.177802', 'ticker_sentiment_score': '0.098073', 'ticker_sentiment_label': 'Neutral'}]"
"Apple At WWDC: Expect Next Big-Product Details, Especially When It Comes To AI, Analyst Says - Microsoft  ( NASDAQ:MSFT ) , Alphabet  ( NASDAQ:GOOG ) , Alphabet  ( NASDAQ:GOOGL ) , Meta Platforms  ( NASDAQ:META ) , Apple  ( NASDAQ:AAPL ) ",https://www.benzinga.com/analyst-ratings/analyst-color/23/05/32647998/apple-at-wwdc-expect-next-big-product-details-especially-when-it-comes-to-ai-analys,20230531T134638,['Shanthi Rexaline'],"Apple, Inc. AAPL is set to kick-start its annual Worldwide Developers Conference on June 5. Wedbush analyst Dan Ives maintains an Outperform rating on the Cupertino, California-based company's shares and a $250 price target for the stock.",https://cdn.benzinga.com/files/images/story/2023/Apple_Photo_by_Vytautas_Kielaitis_on_Shutterstock_9.jpeg?width=1200&height=800&fit=crop,Benzinga,News,www.benzinga.com,"[{'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.161647'}]",0.156267,Somewhat-Bullish,"[{'ticker': 'MSFT', 'relevance_score': '0.174587', 'ticker_sentiment_score': '0.100699', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOG', 'relevance_score': '0.174587', 'ticker_sentiment_score': '0.100699', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'META', 'relevance_score': '0.174587', 'ticker_sentiment_score': '0.103507', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.848377', 'ticker_sentiment_score': '0.302288', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
Jim Cramer's top 10 things to watch in the stock market Wednesday,https://www.cnbc.com/2023/05/31/jim-cramers-top-10-things-to-watch-in-the-stock-market-wednesday.html,20230531T132543,['Jim Cramer'],Wall Street is set to open lower after the Nasdaq's third straight session of gains and its highest close since August.,https://image.cnbcfm.com/api/v1/image/107247790-1685417777216-gettyimages-1258274369-TAIWAN-COMPUTER-NVIDIA-29052023-10.jpeg?v=1685539543&w=1920&h=1080,CNBC,Top News,www.cnbc.com,"[{'topic': 'Energy & Transportation', 'relevance_score': '0.2'}, {'topic': 'Technology', 'relevance_score': '0.2'}, {'topic': 'Finance', 'relevance_score': '0.2'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.2'}, {'topic': 'Financial Markets', 'relevance_score': '0.905476'}, {'topic': 'Manufacturing', 'relevance_score': '0.2'}, {'topic': 'Earnings', 'relevance_score': '0.538269'}]",0.081571,Neutral,"[{'ticker': 'TGT', 'relevance_score': '0.116067', 'ticker_sentiment_score': '-0.013023', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'META', 'relevance_score': '0.116067', 'ticker_sentiment_score': '0.085111', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NVDA', 'relevance_score': '0.390613', 'ticker_sentiment_score': '0.118103', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.116067', 'ticker_sentiment_score': '0.124788', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'C', 'relevance_score': '0.058188', 'ticker_sentiment_score': '0.058971', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BAC', 'relevance_score': '0.058188', 'ticker_sentiment_score': '0.058971', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'JPM', 'relevance_score': '0.058188', 'ticker_sentiment_score': '-0.085006', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'HPQ', 'relevance_score': '0.116067', 'ticker_sentiment_score': '-0.037314', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'KSS', 'relevance_score': '0.173333', 'ticker_sentiment_score': '-0.016533', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MSFT', 'relevance_score': '0.116067', 'ticker_sentiment_score': '0.216573', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'HAL', 'relevance_score': '0.116067', 'ticker_sentiment_score': '-0.169337', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'TSLA', 'relevance_score': '0.173333', 'ticker_sentiment_score': '0.027573', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AMD', 'relevance_score': '0.116067', 'ticker_sentiment_score': '0.085111', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'HPE', 'relevance_score': '0.116067', 'ticker_sentiment_score': '-0.037314', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'PXD', 'relevance_score': '0.116067', 'ticker_sentiment_score': '-0.169337', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'AMZN', 'relevance_score': '0.173333', 'ticker_sentiment_score': '0.155499', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'CTRA', 'relevance_score': '0.116067', 'ticker_sentiment_score': '-0.169337', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'MRVL', 'relevance_score': '0.116067', 'ticker_sentiment_score': '0.085111', 'ticker_sentiment_label': 'Neutral'}]"
"June Outlook: Bumps Possible Ahead As Market Eyes Debt Ceiling Debate, FOMC Meeting",https://www.benzinga.com/markets/23/05/32647512/june-outlook-bumps-possible-ahead-as-market-eyes-debt-ceiling-debate-fomc-meeting,20230531T132234,['Alex Coffey'],"Despite Washington, D.C. dabbling with possible default, stocks spent much of May dressed in green for the season. Resilience was the theme, though the rally mainly reflected a few mega-cap tech stocks scampering ahead, while most of the market jogged in place.",https://cdn.benzinga.com/files/images/story/2023/05/31/shutterstock_270104156.jpg?width=1200&height=800&fit=crop,Benzinga,Markets,www.benzinga.com,"[{'topic': 'Technology', 'relevance_score': '0.25'}, {'topic': 'Economy - Monetary', 'relevance_score': '0.999855'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.25'}, {'topic': 'Financial Markets', 'relevance_score': '0.961735'}, {'topic': 'Manufacturing', 'relevance_score': '0.25'}, {'topic': 'Earnings', 'relevance_score': '0.988787'}, {'topic': 'Real Estate & Construction', 'relevance_score': '0.25'}]",-0.0653,Neutral,"[{'ticker': 'MSFT', 'relevance_score': '0.046452', 'ticker_sentiment_score': '0.120511', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TGT', 'relevance_score': '0.046452', 'ticker_sentiment_score': '-0.134032', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NVDA', 'relevance_score': '0.046452', 'ticker_sentiment_score': '0.120511', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.046452', 'ticker_sentiment_score': '0.120511', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'LEN', 'relevance_score': '0.046452', 'ticker_sentiment_score': '-0.070739', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FL', 'relevance_score': '0.069629', 'ticker_sentiment_score': '-0.096219', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NKE', 'relevance_score': '0.069629', 'ticker_sentiment_score': '-0.046866', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'ORCL', 'relevance_score': '0.046452', 'ticker_sentiment_score': '-0.056053', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'HD', 'relevance_score': '0.046452', 'ticker_sentiment_score': '-0.134032', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FOREX:USD', 'relevance_score': '0.023236', 'ticker_sentiment_score': '-0.053742', 'ticker_sentiment_label': 'Neutral'}]"
"Top Stories Wednesday, May 31: Twitter Algorithm Changes Show Disturbing Impact, Uber One's Subscription Changes, More Layoffs at Goldman Sachs - NVIDIA  ( NASDAQ:NVDA ) , Apple  ( NASDAQ:AAPL ) , Hon Hai Precision  ( OTC:HNHPF ) , Baidu  ( NASDAQ:BIDU ) , Prudential  ( NYSE:PUK ) , UBS Gr  ( NYSE:UBS ) , HP  ( NYSE:HPQ ) , Goldman Sachs Gr  ( NYSE:GS ) , Advance Auto Parts  ( NYSE:AAP ) , Credit Suisse Group  ( NYSE:CS ) , Volkswagen  ( OTC:VWAGY ) , Toyota Motor  ( NYSE:TM ) , Uber Technologies  ( NYSE:UBER ) , Boeing  ( NYSE:BA ) ",https://www.benzinga.com/news/23/05/32646255/twitter-algorithm-changes-show-disturbing-impact-uber-ones-subscription-changes-more-layoffs-at-gold,20230531T130539,['Akanksha Bakshi'],Advance Auto Parts Inc AAP shares are plunging Wednesday morning as its first-quarter results missed expectations. The company also reduced its full-year guidance and decided to reduce its quarterly dividend.,https://cdn.benzinga.com/files/images/story/2023/05/31/elon_musk_should_run_from_the_twitter_deal_ljupco_smokovski_by_shutterstock_and_wikimedia_commons.jpg?width=1200&height=800&fit=crop,Benzinga,News,www.benzinga.com,"[{'topic': 'Retail & Wholesale', 'relevance_score': '0.25'}, {'topic': 'Manufacturing', 'relevance_score': '0.25'}, {'topic': 'Technology', 'relevance_score': '0.25'}, {'topic': 'Finance', 'relevance_score': '0.25'}]",0.074174,Neutral,"[{'ticker': 'NVDA', 'relevance_score': '0.075995', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.075995', 'ticker_sentiment_score': '0.011314', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'HNHPF', 'relevance_score': '0.075995', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BIDU', 'relevance_score': '0.113776', 'ticker_sentiment_score': '-0.05414', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'PUK', 'relevance_score': '0.075995', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'UBS', 'relevance_score': '0.113776', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'HPQ', 'relevance_score': '0.075995', 'ticker_sentiment_score': '0.218033', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'GS', 'relevance_score': '0.075995', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAP', 'relevance_score': '0.113776', 'ticker_sentiment_score': '0.051925', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CS', 'relevance_score': '0.075995', 'ticker_sentiment_score': '-0.223133', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'SSTK', 'relevance_score': '0.03804', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'VWAGY', 'relevance_score': '0.075995', 'ticker_sentiment_score': '-0.05195', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TM', 'relevance_score': '0.075995', 'ticker_sentiment_score': '-0.197646', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'UBER', 'relevance_score': '0.261517', 'ticker_sentiment_score': '0.007734', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BA', 'relevance_score': '0.113776', 'ticker_sentiment_score': '0.079679', 'ticker_sentiment_label': 'Neutral'}]"
"Steve Jobs, Sabotage And The Eerie Fate Of Apple's Buried Lisa Computers - Apple  ( NASDAQ:AAPL ) ",https://www.benzinga.com/news/23/05/32645337/steve-jobs-sabotage-and-the-eerie-fate-of-apples-buried-lisa-computers,20230531T122124,['Ananya Gairola'],"A new captivating documentary explores the intriguing fate of Apple Inc's AAPL Lisa computers, shedding light on the circumstances that led to the burial of thousands of unsold units in Logan, Utah. And Steve Jobs' possible hand in what is arguably the company's worst failure.",https://cdn.benzinga.com/files/images/story/2023/Steve_Jobs_wikimedia_commons_0.jpeg?width=1200&height=800&fit=crop,Benzinga,News,www.benzinga.com,"[{'topic': 'Technology', 'relevance_score': '1.0'}]",0.072699,Neutral,"[{'ticker': 'AAPL', 'relevance_score': '0.634282', 'ticker_sentiment_score': '0.224718', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
Apple's Betting App Dilemma In India: Government Calls For Immediate Action - Apple  ( NASDAQ:AAPL ) ,https://www.benzinga.com/news/23/05/32645283/apples-betting-app-dilemma-in-india-government-calls-for-immediate-action,20230531T121649,['Arpit Nayak'],"This story was first published on the Benzinga India portal. The head of India's IT regulator has said that government would certify permissible online games until the gaming industry establishes a self-regulatory organization ( SRO ) , a day after Apple Inc.",https://cdn.benzinga.com/files/images/story/2023/05/31/zhiyue-7dou5nlnice-unsplash.jpg?width=1200&height=800&fit=crop,Benzinga,News,www.benzinga.com,"[{'topic': 'Technology', 'relevance_score': '1.0'}]",0.0,Neutral,"[{'ticker': 'GOOG', 'relevance_score': '0.382925', 'ticker_sentiment_score': '0.013117', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.682689', 'ticker_sentiment_score': '-0.108305', 'ticker_sentiment_label': 'Neutral'}]"
Futures Fall Ahead Of House Debt-Ceiling Vote,https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-fall-house-debt-ceiling-vote-c3-ai-tumbles-ahead-of-earnings/,20230531T121500,"['SCOTT LEHTONEN', ""Investor's Business Daily""]","Dow Jones futures dropped Wednesday morning ahead of this evening's House vote on the debt-ceiling deal. Hot AI stock C3.ai ( AI ) tumbled ahead of its earnings results after the close. Late Tuesday, the debt-ceiling bill cleared the House Rules Committee, paving the way for a final House vote, ...",https://www.investors.com/wp-content/uploads/2019/10/stock-wall-street-flags-adobe.jpg,Investors Business Daily,n/a,www.investors.com,"[{'topic': 'Financial Markets', 'relevance_score': '1.0'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.451494'}, {'topic': 'Technology', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]",0.158913,Somewhat-Bullish,"[{'ticker': 'MSFT', 'relevance_score': '0.132916', 'ticker_sentiment_score': '0.147545', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.132916', 'ticker_sentiment_score': '-0.034079', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'ANET', 'relevance_score': '0.132916', 'ticker_sentiment_score': '0.008688', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CSCO', 'relevance_score': '0.198221', 'ticker_sentiment_score': '0.090485', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TSLA', 'relevance_score': '0.09989', 'ticker_sentiment_score': '-0.005425', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AMBA', 'relevance_score': '0.066691', 'ticker_sentiment_score': '-0.142368', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'IVZ', 'relevance_score': '0.033375', 'ticker_sentiment_score': '0.008787', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BA', 'relevance_score': '0.132916', 'ticker_sentiment_score': '0.123509', 'ticker_sentiment_label': 'Neutral'}]"
