Time Published,Overall Sentiment Score,Overall Sentiment Label,Ticker Sentiment
20230531T134200,0.18535,Somewhat-Bullish,"[{'ticker': 'GOOG', 'relevance_score': '0.025845', 'ticker_sentiment_score': '0.027075', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'HZNP', 'relevance_score': '0.051663', 'ticker_sentiment_score': '0.028062', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NVO', 'relevance_score': '0.128684', 'ticker_sentiment_score': '0.162395', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'JNJ', 'relevance_score': '0.051663', 'ticker_sentiment_score': '0.170943', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'LLY', 'relevance_score': '0.179407', 'ticker_sentiment_score': '0.167316', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'SGEN', 'relevance_score': '0.025845', 'ticker_sentiment_score': '0.027075', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'PFE', 'relevance_score': '0.025845', 'ticker_sentiment_score': '0.027075', 'ticker_sentiment_label': 'Neutral'}]"
20230531T120307,0.351194,Bullish,"[{'ticker': 'GH', 'relevance_score': '0.063425', 'ticker_sentiment_score': '0.083038', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOG', 'relevance_score': '0.063425', 'ticker_sentiment_score': '0.112073', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NVDA', 'relevance_score': '0.12645', 'ticker_sentiment_score': '0.149751', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'WEN', 'relevance_score': '0.063425', 'ticker_sentiment_score': '0.244208', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'MDNDF', 'relevance_score': '0.063425', 'ticker_sentiment_score': '0.244208', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'HCA', 'relevance_score': '0.063425', 'ticker_sentiment_score': '0.083038', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'JNJ', 'relevance_score': '0.063425', 'ticker_sentiment_score': '0.083038', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NKE', 'relevance_score': '0.063425', 'ticker_sentiment_score': '0.187242', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'BHP', 'relevance_score': '0.063425', 'ticker_sentiment_score': '0.133108', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'UNH', 'relevance_score': '0.063425', 'ticker_sentiment_score': '0.083038', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'DPZ', 'relevance_score': '0.063425', 'ticker_sentiment_score': '0.244208', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'MSFT', 'relevance_score': '0.063425', 'ticker_sentiment_score': '0.112073', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'SSNLF', 'relevance_score': '0.063425', 'ticker_sentiment_score': '0.167185', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'DMPZF', 'relevance_score': '0.063425', 'ticker_sentiment_score': '0.244208', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'RIO', 'relevance_score': '0.063425', 'ticker_sentiment_score': '0.133108', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'EQIX', 'relevance_score': '0.063425', 'ticker_sentiment_score': '0.141124', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CMG', 'relevance_score': '0.063425', 'ticker_sentiment_score': '0.244208', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'HD', 'relevance_score': '0.063425', 'ticker_sentiment_score': '0.187242', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'WMT', 'relevance_score': '0.12645', 'ticker_sentiment_score': '0.1591', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
20230531T102008,0.282445,Somewhat-Bullish,"[{'ticker': 'UNH', 'relevance_score': '0.128135', 'ticker_sentiment_score': '0.051111', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'ABBV', 'relevance_score': '0.128135', 'ticker_sentiment_score': '0.051111', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'JNJ', 'relevance_score': '0.128135', 'ticker_sentiment_score': '0.051111', 'ticker_sentiment_label': 'Neutral'}]"
20230531T040956,-0.105801,Neutral,"[{'ticker': 'TT', 'relevance_score': '0.008666', 'ticker_sentiment_score': '0.039135', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TRMNF', 'relevance_score': '0.008666', 'ticker_sentiment_score': '-0.060589', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'DSSMY', 'relevance_score': '0.008666', 'ticker_sentiment_score': '0.042632', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'JNJ', 'relevance_score': '0.155007', 'ticker_sentiment_score': '-0.035439', 'ticker_sentiment_label': 'Neutral'}]"
20230531T040000,-0.28199,Somewhat-Bearish,"[{'ticker': 'JNJ', 'relevance_score': '0.295867', 'ticker_sentiment_score': '-0.211099', 'ticker_sentiment_label': 'Somewhat-Bearish'}]"
20230530T214517,0.221009,Somewhat-Bullish,"[{'ticker': 'JNJ', 'relevance_score': '0.617188', 'ticker_sentiment_score': '0.330766', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
20230530T194646,0.155935,Somewhat-Bullish,"[{'ticker': 'C', 'relevance_score': '0.136113', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'JNJ', 'relevance_score': '0.696319', 'ticker_sentiment_score': '0.056816', 'ticker_sentiment_label': 'Neutral'}]"
20230530T182011,0.189774,Somewhat-Bullish,"[{'ticker': 'GOOG', 'relevance_score': '0.042271', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'META', 'relevance_score': '0.126339', 'ticker_sentiment_score': '0.112356', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NVDA', 'relevance_score': '0.509206', 'ticker_sentiment_score': '0.198336', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AAPL', 'relevance_score': '0.167904', 'ticker_sentiment_score': '0.022114', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CVX', 'relevance_score': '0.084423', 'ticker_sentiment_score': '0.276216', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'BRK-A', 'relevance_score': '0.042271', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'JNJ', 'relevance_score': '0.042271', 'ticker_sentiment_score': '0.220918', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'TCTZF', 'relevance_score': '0.084423', 'ticker_sentiment_score': '0.105261', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'UNH', 'relevance_score': '0.084423', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TSM', 'relevance_score': '0.084423', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MSFT', 'relevance_score': '0.126339', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TSLA', 'relevance_score': '0.328455', 'ticker_sentiment_score': '0.243474', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AZN', 'relevance_score': '0.084423', 'ticker_sentiment_score': '0.230557', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'XOM', 'relevance_score': '0.126339', 'ticker_sentiment_score': '0.273531', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'LLY', 'relevance_score': '0.042271', 'ticker_sentiment_score': '0.220918', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'PCCYF', 'relevance_score': '0.042271', 'ticker_sentiment_score': '0.129274', 'ticker_sentiment_label': 'Neutral'}]"
20230530T175727,0.392503,Bullish,"[{'ticker': 'ICNB', 'relevance_score': '0.15347', 'ticker_sentiment_score': '0.320201', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'KVUE', 'relevance_score': '0.666827', 'ticker_sentiment_score': '0.589607', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'JNJ', 'relevance_score': '0.301315', 'ticker_sentiment_score': '0.506045', 'ticker_sentiment_label': 'Bullish'}]"
20230530T144240,-0.019623,Neutral,"[{'ticker': 'CVS', 'relevance_score': '0.054483', 'ticker_sentiment_score': '-0.031', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CAH', 'relevance_score': '0.054483', 'ticker_sentiment_score': '-0.031', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'JNJ', 'relevance_score': '0.054483', 'ticker_sentiment_score': '-0.031', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'WMT', 'relevance_score': '0.054483', 'ticker_sentiment_score': '-0.031', 'ticker_sentiment_label': 'Neutral'}]"
