Title,URL,Time Published,Authors,Summary,Banner Image,Source,Category Within Source,Source Domain,Topics,Overall Sentiment Score,Overall Sentiment Label,Ticker Sentiment
Qualcomm executive says cloud won't be enough to power AI,https://www.foxbusiness.com/technology/qualcomm-exec-says-cloud-wont-be-enough-to-power-ai,20230531T232758,[],"A Qualcomm executive cautioned Monday that the future of artificial intelligence will demand more power than what cloud services can provide. Qualcomm senior vice president Alex Katouzian was one of the keynote speakers at this year's Computex, an annual computer expo held in Taipei.",https://cf-images.us-east-1.prod.boltdns.net/v1/static/854081161001/5f642d8b-8186-46e3-b036-657aaa5c4265/8eba3234-8fda-44b1-ae70-caa138ed8f65/1280x720/match/image.jpg,Fox Business News,n/a,www.foxbusiness.com,"[{'topic': 'Manufacturing', 'relevance_score': '1.0'}]",0.099922,Neutral,"[{'ticker': 'NVDA', 'relevance_score': '0.143415', 'ticker_sentiment_score': '0.132354', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'QCOM', 'relevance_score': '0.412298', 'ticker_sentiment_score': '-0.139292', 'ticker_sentiment_label': 'Neutral'}]"
"Stocks making the biggest moves midday: Intel, C3.ai, Advance Auto Parts, HP and more",https://www.cnbc.com/2023/05/31/stocks-making-the-biggest-moves-midday-intc-ai-aap-hpq-and-more.html,20230531T202414,['Michelle Fox'],These are the stocks posting the largest moves midday.,https://image.cnbcfm.com/api/v1/image/107249567-1685643545586-salesforce_movers.png?v=1685651053,CNBC,Market Insider,www.cnbc.com,"[{'topic': 'Technology', 'relevance_score': '0.2'}, {'topic': 'Finance', 'relevance_score': '0.2'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.2'}, {'topic': 'Financial Markets', 'relevance_score': '0.459462'}, {'topic': 'Manufacturing', 'relevance_score': '0.2'}, {'topic': 'Earnings', 'relevance_score': '0.999691'}, {'topic': 'Real Estate & Construction', 'relevance_score': '0.2'}]",0.11491,Neutral,"[{'ticker': 'AAP', 'relevance_score': '0.059341', 'ticker_sentiment_score': '-0.003031', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TFC', 'relevance_score': '0.059341', 'ticker_sentiment_score': '-0.317231', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'NVDA', 'relevance_score': '0.118354', 'ticker_sentiment_score': '0.274197', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'CAR', 'relevance_score': '0.059341', 'ticker_sentiment_score': '0.369412', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'CFG', 'relevance_score': '0.059341', 'ticker_sentiment_score': '-0.317231', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'HPQ', 'relevance_score': '0.059341', 'ticker_sentiment_score': '0.115', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MU', 'relevance_score': '0.059341', 'ticker_sentiment_score': '0.115127', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'SOFI', 'relevance_score': '0.059341', 'ticker_sentiment_score': '0.058124', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GS', 'relevance_score': '0.059341', 'ticker_sentiment_score': '0.115127', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'HPE', 'relevance_score': '0.059341', 'ticker_sentiment_score': '0.115', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'KEY', 'relevance_score': '0.059341', 'ticker_sentiment_score': '-0.317231', 'ticker_sentiment_label': 'Somewhat-Bearish'}]"
Scoop: Corey duBrowa departs Google to serve as CEO of BCW,https://www.axios.com/2023/05/31/corey-dubrowa-departs-google-for-bcw,20230531T201355,"['https://www.axios.com/authors/ehawkins', 'Eleanor Hawkins']",Scoop: Corey duBrowa departs Google to serve as CEO of ...,https://images.axios.com/upe1r9RUS4mug-3QbXFxwRVjwt8=/0x0:1920x1080/1920x1080/2023/05/31/1685549554884.png?w=1920,Axios,Business,www.axios.com,"[{'topic': 'Retail & Wholesale', 'relevance_score': '0.333333'}, {'topic': 'Technology', 'relevance_score': '0.333333'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}]",0.206466,Somewhat-Bullish,"[{'ticker': 'SBUX', 'relevance_score': '0.103778', 'ticker_sentiment_score': '0.038528', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOG', 'relevance_score': '0.566143', 'ticker_sentiment_score': '0.347402', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'NVDA', 'relevance_score': '0.103778', 'ticker_sentiment_score': '0.100957', 'ticker_sentiment_label': 'Neutral'}]"
US stocks slide as traders wait for lawmakers to vote on debt ceiling deal,https://markets.businessinsider.com/news/stocks/stock-market-news-today-debt-ceiling-deal-vote-biden-mccarthy-2023-5,20230531T200209,['Jennifer Sor'],Stock Market News Today: US Stocks Slide Ahead of Debt Ceiling ... - Markets Insider ...,https://i.insider.com/643eb2840a29b400188102a7?width=1200&format=jpeg,Business Insider,GoogleRSS,markets.businessinsider.com,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.451494'}, {'topic': 'Financial Markets', 'relevance_score': '0.538269'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Real Estate & Construction', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]",-0.178626,Somewhat-Bearish,"[{'ticker': 'BAC', 'relevance_score': '0.077845', 'ticker_sentiment_score': '-0.036606', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'RDFN', 'relevance_score': '0.077845', 'ticker_sentiment_score': '-0.036606', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NVDA', 'relevance_score': '0.077845', 'ticker_sentiment_score': '-0.036606', 'ticker_sentiment_label': 'Neutral'}]"
Why tech stocks are thriving on the global stage despite headwinds,https://www.scmp.com/comment/opinion/article/3222276/why-tech-stocks-are-thriving-global-stage-despite-headwinds,20230531T190013,['Chris Iggo'],"In spite of enduring a period of falling earnings, forecasts of recession and rising geopolitical tensions, the technology sector is leading global returns. Drivers of performance include the US pursuing more tech investment, increased focus on supply chains and the explosion of interest in ...","https://img.i-scmp.com/cdn-cgi/image/fit=contain,width=425,format=auto/sites/default/files/styles/768x768/public/d8/images/canvas/2023/05/30/be805622-00aa-44af-833a-9d726177710b_d5291fbf.jpg?itok=Ku88CeWf&v=1685422467",South China Morning Post,Business,www.scmp.com,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.999999'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}, {'topic': 'Earnings', 'relevance_score': '0.795202'}]",0.280881,Somewhat-Bullish,"[{'ticker': 'NVDA', 'relevance_score': '0.049939', 'ticker_sentiment_score': '0.141194', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TSM', 'relevance_score': '0.049939', 'ticker_sentiment_score': '0.141194', 'ticker_sentiment_label': 'Neutral'}]"
"How To Capture $1,250 In Income With Royal Caribbean Now",https://www.investors.com/research/options/royal-caribbean-stock-how-to-capture-1250-in-income-with-options-today/,20230531T173900,"['GAVIN McMASTER', ""Investor's Business Daily""]",How To Capture $1250 In Income With Royal Caribbean Now Investor's Business Daily ...,https://www.investors.com/wp-content/uploads/2023/05/Stock-RoyalCaribbean-01-shutt.jpg,Investors Business Daily,n/a,www.investors.com,"[{'topic': 'Financial Markets', 'relevance_score': '1.0'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.333333'}, {'topic': 'Technology', 'relevance_score': '0.333333'}]",0.288128,Somewhat-Bullish,"[{'ticker': 'NVDA', 'relevance_score': '0.159043', 'ticker_sentiment_score': '0.414581', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'ANET', 'relevance_score': '0.159043', 'ticker_sentiment_score': '0.298473', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'RCL', 'relevance_score': '0.730268', 'ticker_sentiment_score': '0.352664', 'ticker_sentiment_label': 'Bullish'}]"
"Nvidia stock can still climb another 26% as supercomputer launch solidifies its lead in the AI arms race, Bank of America says",https://markets.businessinsider.com/news/stocks/nvidia-stock-price-outlook-ai-supercomputer-launch-nvda-dgx-h100-2023-5,20230531T161300,['Matthew Fox'],Nvidia Stock Price Outlook: 26% Upside After AI Supercomputer ... - Markets Insider ...,https://i.insider.com/64775e5bdf2567001837d5b3?width=1200&format=jpeg,Business Insider,GoogleRSS,markets.businessinsider.com,"[{'topic': 'Financial Markets', 'relevance_score': '0.161647'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.614606'}, {'topic': 'Technology', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]",0.271602,Somewhat-Bullish,"[{'ticker': 'MSFT', 'relevance_score': '0.077593', 'ticker_sentiment_score': '0.087095', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'META', 'relevance_score': '0.077593', 'ticker_sentiment_score': '0.087095', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NVDA', 'relevance_score': '0.619309', 'ticker_sentiment_score': '0.343521', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'BAC', 'relevance_score': '0.229872', 'ticker_sentiment_score': '0.041288', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'EBAY', 'relevance_score': '0.077593', 'ticker_sentiment_score': '0.063758', 'ticker_sentiment_label': 'Neutral'}]"
"Nvidia Is Coming for Intel's and AMD's Lunch, Too, With New Chip Designs",https://www.fool.com/investing/2023/05/31/nvidia-is-coming-for-intels-and-amds-lunch-too-wit/,20230531T144400,['Nicholas Rossolillo'],"Nvidia's GPUs for AI are all the rage right now, but there's a lot more to the story.",https://g.foolcdn.com/image/?url=https%3A%2F%2Fg.foolcdn.com%2Feditorial%2Fimages%2F734276%2Froth-ira-road-sign-gettyimages-514516902.jpg&op=resize&h=340,Motley Fool,n/a,www.fool.com,"[{'topic': 'Earnings', 'relevance_score': '0.795202'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}]",0.171643,Somewhat-Bullish,"[{'ticker': 'AMD', 'relevance_score': '0.337811', 'ticker_sentiment_score': '0.199687', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'NVDA', 'relevance_score': '0.691995', 'ticker_sentiment_score': '0.260362', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'INTC', 'relevance_score': '0.389744', 'ticker_sentiment_score': '0.22166', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
Nvidia Stock Is Expensive. Why Citi Says It's Still a Buy.,https://www.barrons.com/articles/nvidia-stock-price-buy-sell-740936e6,20230531T144400,['Karishma Vanjani'],Citi analysts gave Nvidia a nod of approval on Tuesday and highlighted the firm's chips and supercomputer as reasons for their growing confidence even after the stock more than doubled over the past year.,https://images.barrons.com/im-791557?width=700&height=467,Barrons,n/a,www.barrons.com,"[{'topic': 'Financial Markets', 'relevance_score': '0.316726'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.360215'}, {'topic': 'Finance', 'relevance_score': '0.5'}]",0.293891,Somewhat-Bullish,"[{'ticker': 'NVDA', 'relevance_score': '0.379051', 'ticker_sentiment_score': '0.365133', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'C', 'relevance_score': '0.130926', 'ticker_sentiment_score': '0.2449', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
"AI Frenzy Helps Nasdaq 100 Outshine Russell 2,000 And Soar To Dot-Com Bubble Highs - Invesco QQQ Trust, Series 1  ( NASDAQ:QQQ ) , iShares Russell 2000 ETF  ( ARCA:IWM ) ",https://www.benzinga.com/news/23/05/32648058/ai-frenzy-helps-nasdaq-100-outshine-russell-2-000-and-soar-to-dot-com-bubble-highs,20230531T143857,['Piero Cingari'],The surge of artificial intelligence ( AI ) is sparking a transformative shift in the relative valuations of prominent U.S. stock averages as the tech sector outperforms other industries and small-cap stocks.,https://cdn.benzinga.com/files/images/story/2023/05/31/nasdaq-gde5f50ae6_1280.jpg?width=1200&height=800&fit=crop,Benzinga,Trading,www.benzinga.com,"[{'topic': 'Life Sciences', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.684621'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]",0.152323,Somewhat-Bullish,"[{'ticker': 'GBCI', 'relevance_score': '0.31482', 'ticker_sentiment_score': '-0.366837', 'ticker_sentiment_label': 'Bearish'}, {'ticker': 'NVDA', 'relevance_score': '0.31482', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CHGG', 'relevance_score': '0.31482', 'ticker_sentiment_score': '-0.366837', 'ticker_sentiment_label': 'Bearish'}, {'ticker': 'IVZ', 'relevance_score': '0.160633', 'ticker_sentiment_score': '0.275414', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'HALO', 'relevance_score': '0.31482', 'ticker_sentiment_score': '-0.366837', 'ticker_sentiment_label': 'Bearish'}]"
