Date,Open,High,Low,Close,Volume
2023-10-09,117.53,117.79,105.11,110.92,115180417
2023-09-29,112.2,120.7,112.2,117.58,320616649
2023-08-31,106.95,112.07,104.57,111.19,315952866
2023-07-31,107.49,108.46,100.22,107.24,350396222
2023-06-30,101.75,109.14,101.26,107.25,322630471
2023-05-31,115.99,117.3,101.74,102.18,331787410
2023-04-28,113.39,119.92,113.12,118.34,292949932
2023-03-31,109.31,113.84,98.02,109.66,412555211
2023-02-28,115.83,119.63,108.64,109.91,311248451
2023-01-31,109.78,117.78,104.76,116.01,329847947
2022-12-30,111.64,112.07,102.37,110.3,376509708
2022-11-30,112.37,114.6642,107.48,111.34,368054915
2022-10-31,90.04,112.91,89.72,110.81,431633161
2022-09-30,94.42,99.19,83.89,87.31,410595217
2022-08-31,94.79,101.555,86.28,95.59,424504673
2022-07-29,86.74,97.515,80.69,96.93,427920540
2022-06-30,97.02,105.57,83.52,85.64,660321520
2022-05-31,85.01,99.775,83.4,96.0,659735850
2022-04-29,81.99,89.8,79.29,85.25,505298620
2022-03-31,78.77,91.505,76.25,82.59,851509473
2022-02-28,76.45,83.08,74.03,78.42,628495456
2022-01-31,61.24,76.42,61.21,75.96,605096462
2021-12-31,60.9,63.35,57.96,61.19,433205760
2021-11-30,65.065,66.38,59.54,59.84,415515027
2021-10-29,59.41,65.94,59.41,64.47,435214498
2021-09-30,54.49,60.48,52.96,58.82,482961263
2021-08-31,57.55,59.06,52.1,54.52,406242850
2021-07-30,64.33,64.42,54.595,57.57,435776080
2021-06-30,59.45,64.925,59.45,63.08,526409314
2021-05-28,57.98,64.02,57.74,58.37,521305196
2021-04-30,56.32,59.48,54.3,57.24,457854782
2021-03-31,56.47,62.55,54.45,55.83,790804953
2021-02-26,45.58,57.245,44.29,54.37,541226724
2021-01-29,41.45,51.08,41.0,44.84,594505106
2020-12-31,38.96,44.469,38.34,41.22,605511099
2020-11-30,33.14,42.08,32.53,38.13,703572014
2020-10-30,33.79,35.95,31.11,32.62,630468906
2020-09-30,39.75,40.03,33.76,34.33,590861107
2020-08-31,42.05,46.42,39.305,39.94,449383491
2020-07-31,44.49,45.38,40.91,42.08,447021565
2020-06-30,45.32,55.36,43.16,44.72,584463228
2020-05-29,45.63,47.15,40.2,45.47,476995660
2020-04-30,36.86,47.68,36.34,46.47,790557341
2020-03-31,52.59,54.15,30.11,37.97,1169374266
2020-02-28,61.38,63.01,48.01,51.44,479579213
2020-01-31,70.24,71.37,61.86,62.12,359062435
2019-12-31,68.5,70.54,67.52,69.78,285375379
2019-11-29,68.39,73.12,67.32,68.13,249557145
2019-10-31,70.83,70.91,66.31,67.57,244654156
2019-09-30,67.89,75.18,67.63,70.61,217304324
2019-08-30,73.74,74.27,66.53,68.48,278110349
2019-07-31,77.13,77.93,74.18,74.36,186918995
2019-06-28,71.09,77.76,70.97,76.63,218954593
2019-05-31,79.94,80.26,70.63,70.77,250095412
2019-04-30,81.23,83.49,79.56,80.28,219524124
2019-03-29,79.38,82.0,77.86,80.8,272455536
2019-02-28,74.92,79.75,72.73,79.03,245067931
2019-01-31,67.35,73.49,67.26,73.28,269229087
2018-12-31,80.24,81.95,64.65,68.19,380646842
2018-11-30,79.83,83.75,74.7,79.5,287081980
2018-10-31,85.35,86.89,76.22,79.68,305910893
2018-09-28,80.41,87.36,79.6,85.02,227023205
2018-08-31,80.89,81.59,76.51,80.17,215074077
2018-07-31,81.89,84.4,80.71,81.51,204694477
2018-06-29,81.87,83.79,79.3,82.73,257829803
2018-05-31,77.26,82.65,75.4,81.24,299337850
2018-04-30,74.27,80.9,72.16,77.75,286110905
2018-03-29,75.53,76.98,72.67,74.61,347390191
2018-02-28,87.5,89.25,73.9,75.74,362824515
2018-01-31,83.82,89.3,83.66,87.3,227074973
2017-12-29,83.44,84.36,82.17,83.64,214767942
2017-11-30,83.39,84.14,80.01,83.29,189482141
2017-10-31,81.3,84.24,81.245,83.35,166855062
2017-09-29,76.37,82.45,76.32,81.98,210645599
2017-08-31,80.16,80.82,76.05,76.33,218812051
2017-07-31,80.79,82.49,78.27,80.04,198990525
2017-06-30,80.37,83.69,79.26,80.73,298607016
2017-05-31,81.51,83.23,80.47,80.5,215642979
2017-04-28,82.02,83.55,80.3,81.65,190786089
2017-03-31,81.7,84.25,80.31,82.01,315580297
2017-02-28,84.0,84.16,80.76,81.32,237324737
2017-01-31,90.94,91.34,83.13,83.89,252493136
2016-12-30,87.98,93.215,86.6,90.26,220099367
2016-11-30,83.5,88.19,82.76,87.3,233092887
