Date,Open,High,Low,Close,Volume
2023-10-09,157.18,158.88,157.09,158.54,4414322
2023-10-06,155.42,158.3,153.32,157.64,29752045
2023-09-29,160.07,160.36,155.255,155.75,37380720
2023-09-22,162.12,163.5354,160.25,160.5,24681718
2023-09-15,161.06,165.27,160.45,161.45,40903197
2023-09-08,160.56,161.97,157.35,160.56,35663622
2023-09-01,165.0,166.21,160.015,160.48,64548753
2023-08-25,169.69,169.85,163.47,166.25,416106868
2023-08-18,173.52,175.6,171.31,172.49,359092083
2023-08-11,169.49,175.97,169.36,173.85,182208969
2023-08-04,169.69,172.68,166.06,169.04,93883812
2023-07-28,171.5,175.36,169.75,174.48,69818897
2023-07-21,159.75,170.82,157.33,170.19,53315976
2023-07-14,159.43,160.3,157.41,159.87,31050742
2023-07-07,164.34,164.39,159.2,159.25,24615149
2023-06-30,164.98,165.94,161.33,165.52,30814605
2023-06-23,164.26,166.27,162.69,165.48,30110576
2023-06-16,160.0,164.99,158.73,164.23,39842108
2023-06-09,156.75,160.725,156.75,160.01,30092158
2023-06-02,153.97,157.31,153.15,156.97,31752843
2023-05-26,158.0,159.14,153.72,154.35,30215536
2023-05-19,160.8,161.03,157.56,158.91,29244785
2023-05-12,161.99,162.57,159.3901,160.78,27044147
2023-05-05,163.6,166.18,161.25,162.68,28694773
2023-04-28,162.69,165.35,161.87,163.7,28749211
2023-04-21,165.735,166.24,159.65,162.69,45871357
2023-04-14,164.63,166.33,163.1,165.84,29887759
2023-04-06,154.95,167.23,153.94,165.15,41476003
2023-03-31,154.2,155.19,151.725,155.0,33345557
2023-03-24,152.47,154.13,150.11,152.65,38197682
2023-03-17,152.09,155.91,151.57,152.38,55125197
2023-03-10,154.66,156.25,150.71,151.61,37780143
2023-03-03,156.45,156.9,151.231,154.02,37608664
2023-02-24,159.65,160.35,155.21,155.97,37318918
2023-02-17,161.33,162.9699,156.62,160.39,48942905
2023-02-10,164.55,164.8525,161.07,162.15,35364025
2023-02-03,167.93,168.54,161.05,164.61,61704404
2023-01-27,169.1,175.0,166.01,168.23,39071280
2023-01-20,174.0,174.58,167.48,168.74,28661128
2023-01-13,179.3,179.76,172.11,173.43,29825048
2023-01-06,176.16,180.93,176.01,180.25,28094916
2022-12-30,178.11,178.45,175.4,176.65,12758347
2022-12-23,175.35,178.18,174.07,177.48,26775477
2022-12-16,175.95,181.039,174.86,175.67,50037983
2022-12-09,178.36,180.0,175.66,175.74,28126164
2022-12-02,176.75,179.96,174.66,178.88,38278276
2022-11-25,175.89,178.12,174.83,177.24,18862676
2022-11-18,170.25,176.64,170.25,176.2,32455013
2022-11-11,171.67,175.0,166.82,169.25,36871823
2022-11-04,174.52,175.16,168.94,171.48,31794203
2022-10-28,169.81,175.39,168.52,174.87,30106568
2022-10-21,165.4,169.37,163.05,168.71,41786515
2022-10-14,160.63,165.99,159.18,164.46,28019746
2022-10-07,164.29,166.04,159.17,160.2,31686859
2022-09-30,165.8,167.67,163.32,163.36,42076673
2022-09-23,166.3,167.48,162.83,166.72,39522861
2022-09-16,166.11,167.63,160.81,167.6,50023397
2022-09-09,163.94,166.215,162.16,165.71,23272165
2022-09-02,163.47,166.2,161.27,162.74,34220478
2022-08-26,168.9,168.92,164.195,164.27,28058973
2022-08-19,166.0,170.12,165.125,169.31,41372877
2022-08-12,171.3,171.48,165.15,165.3,39702395
2022-08-05,174.17,175.49,169.79,171.11,27152634
2022-07-29,172.12,176.09,171.13,174.52,25575763
2022-07-22,177.74,178.19,169.76,172.12,38304143
2022-07-15,177.7,179.02,172.2968,178.23,24696683
2022-07-08,178.83,179.99,174.61,178.28,20567208
2022-07-01,181.64,183.3506,175.03,179.52,38559563
2022-06-24,170.75,182.53,169.56,182.29,38411015
2022-06-17,170.08,172.25,167.26,169.46,42453441
2022-06-10,177.21,179.45,170.6212,172.55,27325708
2022-06-03,178.0,180.17,174.5884,176.42,34467581
2022-05-27,177.6,181.74,177.46,181.09,32771029
2022-05-20,176.85,179.7,172.69,176.98,34273237
2022-05-13,175.45,179.18,174.59,176.85,36811553
2022-05-06,180.47,181.41,174.69,176.37,32424274
2022-04-29,182.34,186.69,180.2,180.46,50202639
2022-04-22,179.73,185.94,176.74,181.54,43630658
2022-04-14,183.0,184.2,178.2,179.9,23720887
2022-04-08,178.19,183.187,175.52,182.12,39005548
2022-04-01,176.65,180.21,175.6,178.19,35831200
2022-03-25,174.66,177.7,173.91,176.92,30299125
2022-03-18,170.68,177.0,170.35,174.84,48684269
2022-03-11,168.3,173.12,167.36,169.35,41371756
2022-03-04,162.87,169.86,162.3802,169.48,38541142
2022-02-25,163.575,166.985,155.72,166.0,39013772
2022-02-18,167.71,168.1,162.94,163.36,36733813
2022-02-11,171.41,172.24,167.54,167.71,41230187
2022-02-04,171.5,173.62,169.43,171.63,36225205
2022-01-28,164.0,171.91,158.26,171.79,56984033
2022-01-21,167.1,168.72,164.47,164.87,29812465
2022-01-14,173.69,173.69,167.15,167.84,35948336
2022-01-07,170.21,174.3,169.1,173.95,34064878
2021-12-31,169.14,172.875,168.7,171.07,19183429
2021-12-23,167.81,168.95,165.98,168.25,23588592
2021-12-17,164.75,173.51,163.8,168.23,55907556
2021-12-10,160.19,166.69,159.83,165.49,39366110
2021-12-03,159.5,160.42,155.85,159.38,54091870
2021-11-26,161.03,162.64,158.66,159.2,29132051
2021-11-19,165.0,165.46,161.78,162.89,34493988
2021-11-12,163.68,167.62,162.01,165.01,39166933
2021-11-05,163.16,166.9818,159.4,163.43,35079024
2021-10-29,163.72,166.03,160.61,162.88,35478893
2021-10-22,160.25,165.15,159.2,163.72,32378526
2021-10-15,160.86,161.855,157.34,161.3,29188979
2021-10-08,159.99,162.61,157.6737,160.93,30715318
2021-10-01,164.0,165.4,158.62,160.47,34052794
2021-09-24,163.48,165.98,162.165,164.36,28689262
2021-09-17,167.92,168.12,163.555,164.75,38555987
2021-09-10,174.35,175.03,166.87,166.97,25335496
2021-09-03,172.79,175.22,172.06,175.04,24330108
2021-08-27,178.39,178.93,172.75,172.93,29974507
2021-08-20,176.55,179.92,175.95,179.44,29002934
2021-08-13,173.72,176.29,172.78,176.25,22031769
2021-08-06,172.47,174.59,171.3,173.11,23419985
2021-07-30,171.82,173.3801,170.67,172.2,26878261
2021-07-23,166.48,172.1751,165.32,171.79,36005428
2021-07-16,169.73,171.18,167.72,168.1,31186751
2021-07-09,167.91,170.37,166.99,169.75,24268711
