Title,URL,Time Published,Authors,Summary,Banner Image,Source,Category Within Source,Source Domain,Topics,Overall Sentiment Score,Overall Sentiment Label,Ticker Sentiment
World's biggest investment fund says firms mismanaging climate risk could face exclusion from next year,https://www.cnbc.com/2023/05/31/norways-oil-fund-says-firms-mismanaging-climate-could-face-exclusion.html,20230531T112256,['Sam Meredith'],It comes amid a sense of palpable frustration among climate activists during the proxy voting season.,https://image.cnbcfm.com/api/v1/image/107246012-1684940058406-gettyimages-1417457299-dji_0088_6fa5e626-c68c-49b1-b9ea-0f18b56340e4.jpeg?v=1684991722&w=600&h=300&vtcrop=y,CNBC,Top News,www.cnbc.com,"[{'topic': 'Energy & Transportation', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}]",0.054972,Neutral,"[{'ticker': 'TTE', 'relevance_score': '0.116067', 'ticker_sentiment_score': '-0.024378', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'DSSMY', 'relevance_score': '0.058188', 'ticker_sentiment_score': '0.099981', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'XOM', 'relevance_score': '0.058188', 'ticker_sentiment_score': '0.00402', 'ticker_sentiment_label': 'Neutral'}]"
Is WisdomTree U.S. Total Dividend ETF  ( DTD )  a Strong ETF Right Now?,https://www.zacks.com/stock/news/2101741/is-wisdomtree-us-total-dividend-etf-dtd-a-strong-etf-right-now,20230531T102007,['Zacks Investment Research'],Smart Beta ETF report for DTD ...,https://staticx-tuner.zacks.com/images/default_article_images/default3.jpg,Zacks Commentary,n/a,www.zacks.com,"[{'topic': 'Energy & Transportation', 'relevance_score': '0.5'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.999999'}]",0.263228,Somewhat-Bullish,"[{'ticker': 'MSFT', 'relevance_score': '0.120733', 'ticker_sentiment_score': '0.067941', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.120733', 'ticker_sentiment_score': '0.067941', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'WT', 'relevance_score': '0.295867', 'ticker_sentiment_score': '0.228848', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'XOM', 'relevance_score': '0.120733', 'ticker_sentiment_score': '0.067941', 'ticker_sentiment_label': 'Neutral'}]"
"Hydrogen Is Ramping Up In The Energy Transition, But It May Be Oversold",https://www.forbes.com/sites/ianpalmer/2023/05/30/hydrogen-is-ramping-up-in-the-energy-transition-but-it-may-be-oversold/,20230530T231230,['Ian Palmer'],"A hydrogen industry may take a large bite out of the 5-7% hard-to-abate emissions of global energy by 2050, but the biggest chunk of emissions still remains: 93-95%.",https://imageio.forbes.com/specials-images/imageserve/64767f7b33b73dc0f87b69d7/0x0.jpg?format=jpg&width=1200,Forbes,Business,www.forbes.com,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Energy & Transportation', 'relevance_score': '1.0'}]",0.115859,Neutral,"[{'ticker': 'GCEI', 'relevance_score': '0.029256', 'ticker_sentiment_score': '-0.01598', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MSBHF', 'relevance_score': '0.029256', 'ticker_sentiment_score': '0.047757', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'XOM', 'relevance_score': '0.029256', 'ticker_sentiment_score': '0.047757', 'ticker_sentiment_label': 'Neutral'}]"
Nvidia Becomes Ninth Company To Hit $1 Trillion Market Cap - Who Could Be Next To Join Elusive Club? - NVIDIA  ( NASDAQ:NVDA ) ,https://www.benzinga.com/news/23/05/32630114/nvidia-becomes-ninth-company-to-hit-1-trillion-market-cap-who-could-be-next-to-join-elusive-club,20230530T182011,['Chris Katje'],A surge in price for shares of Nvidia Corporation NVDA after the company's quarterly earnings results and guidance has put the semiconductor company in the elusive $1 trillion market capitalization club. Here's a look at the past and current members of the club and who could be next to join.,https://cdn.benzinga.com/files/images/story/2023/05/30/nvidia_bull_chart.jpg?width=1200&height=800&fit=crop,Benzinga,Trading,www.benzinga.com,"[{'topic': 'Life Sciences', 'relevance_score': '0.2'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.2'}, {'topic': 'Technology', 'relevance_score': '0.2'}, {'topic': 'Finance', 'relevance_score': '0.2'}, {'topic': 'Financial Markets', 'relevance_score': '0.214378'}, {'topic': 'Manufacturing', 'relevance_score': '0.2'}, {'topic': 'Earnings', 'relevance_score': '0.938793'}, {'topic': 'Mergers & Acquisitions', 'relevance_score': '0.158519'}]",0.189774,Somewhat-Bullish,"[{'ticker': 'GOOG', 'relevance_score': '0.042271', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'META', 'relevance_score': '0.126339', 'ticker_sentiment_score': '0.112356', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NVDA', 'relevance_score': '0.509206', 'ticker_sentiment_score': '0.198336', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AAPL', 'relevance_score': '0.167904', 'ticker_sentiment_score': '0.022114', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CVX', 'relevance_score': '0.084423', 'ticker_sentiment_score': '0.276216', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'BRK-A', 'relevance_score': '0.042271', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'JNJ', 'relevance_score': '0.042271', 'ticker_sentiment_score': '0.220918', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'TCTZF', 'relevance_score': '0.084423', 'ticker_sentiment_score': '0.105261', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'UNH', 'relevance_score': '0.084423', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TSM', 'relevance_score': '0.084423', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MSFT', 'relevance_score': '0.126339', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TSLA', 'relevance_score': '0.328455', 'ticker_sentiment_score': '0.243474', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AZN', 'relevance_score': '0.084423', 'ticker_sentiment_score': '0.230557', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'XOM', 'relevance_score': '0.126339', 'ticker_sentiment_score': '0.273531', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'LLY', 'relevance_score': '0.042271', 'ticker_sentiment_score': '0.220918', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'PCCYF', 'relevance_score': '0.042271', 'ticker_sentiment_score': '0.129274', 'ticker_sentiment_label': 'Neutral'}]"
Nvidia joins the $1 trillion club - briefly,https://www.axios.com/2023/05/30/nvidia-stock-surge-trillion-dollar-companies,20230530T173755,"['Matt Phillips', 'https://www.axios.com/authors/mphillips']",Chipmaker Nvidia's AI-fueled stock surge has pushed it into elite ranks of Corporate America: Companies with trillion-dollar-plus valuations.,https://graphics.axios.com/hermesv2/2023-05-30-1511-market-value-of/fallbacks/2023-05-30-1511-market-value-of-fallback.png,Axios,Markets,www.axios.com,"[{'topic': 'Financial Markets', 'relevance_score': '0.161647'}, {'topic': 'Manufacturing', 'relevance_score': '0.25'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.25'}, {'topic': 'Technology', 'relevance_score': '0.25'}, {'topic': 'Finance', 'relevance_score': '0.25'}]",0.317687,Somewhat-Bullish,"[{'ticker': 'MSFT', 'relevance_score': '0.205807', 'ticker_sentiment_score': '0.14691', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NVDA', 'relevance_score': '0.205807', 'ticker_sentiment_score': '0.266306', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'TSLA', 'relevance_score': '0.205807', 'ticker_sentiment_score': '0.266306', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'BRK-A', 'relevance_score': '0.205807', 'ticker_sentiment_score': '0.266306', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'XOM', 'relevance_score': '0.205807', 'ticker_sentiment_score': '0.266306', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
"Stocks making the biggest moves midday: Nvidia, Tesla, Coinbase and more",https://www.cnbc.com/2023/05/30/stocks-making-the-biggest-moves-midday-nvda-tsla-coin.html,20230530T163755,['Samantha Subin'],These are the stocks posting the largest moves in midday trading.,https://image.cnbcfm.com/api/v1/image/107247052-1685079013413-gettyimages-1257866797-Nvidia_Stock_Soar.jpeg?v=1685464675&w=1920&h=1080,CNBC,Market Insider,www.cnbc.com,"[{'topic': 'Life Sciences', 'relevance_score': '0.2'}, {'topic': 'Financial Markets', 'relevance_score': '0.980922'}, {'topic': 'Manufacturing', 'relevance_score': '0.2'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.2'}, {'topic': 'Technology', 'relevance_score': '0.2'}, {'topic': 'Finance', 'relevance_score': '0.2'}]",0.345518,Somewhat-Bullish,"[{'ticker': 'PATH', 'relevance_score': '0.090134', 'ticker_sentiment_score': '0.147505', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NVDA', 'relevance_score': '0.090134', 'ticker_sentiment_score': '0.290178', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AVGO', 'relevance_score': '0.090134', 'ticker_sentiment_score': '0.290178', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'IOVA', 'relevance_score': '0.179121', 'ticker_sentiment_score': '0.09756', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TSLA', 'relevance_score': '0.090134', 'ticker_sentiment_score': '0.110979', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BAC', 'relevance_score': '0.090134', 'ticker_sentiment_score': '0.277557', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'FANG', 'relevance_score': '0.090134', 'ticker_sentiment_score': '0.036621', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'PARA', 'relevance_score': '0.090134', 'ticker_sentiment_score': '0.119974', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CHPT', 'relevance_score': '0.090134', 'ticker_sentiment_score': '0.277557', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'XOM', 'relevance_score': '0.090134', 'ticker_sentiment_score': '0.036621', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'DVN', 'relevance_score': '0.179121', 'ticker_sentiment_score': '0.052198', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'COIN', 'relevance_score': '0.090134', 'ticker_sentiment_score': '0.137059', 'ticker_sentiment_label': 'Neutral'}]"
Looking At Exxon Mobil's Recent Unusual Options Activity - Exxon Mobil  ( NYSE:XOM ) ,https://www.benzinga.com/markets/options/23/05/32627018/looking-at-exxon-mobils-recent-unusual-options-activity,20230530T150058,['Benzinga Insights'],"A whale with a lot of money to spend has taken a noticeably bearish stance on Exxon Mobil. Looking at options history for Exxon Mobil XOM we detected 18 strange trades. If we consider the specifics of each trade, it is accurate to state that 38% of the investors opened trades with bullish ...",https://www.benzinga.com/next-assets/images/schema-image-default.png,Benzinga,Markets,www.benzinga.com,"[{'topic': 'Financial Markets', 'relevance_score': '0.87644'}, {'topic': 'Earnings', 'relevance_score': '0.158519'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.5'}, {'topic': 'Finance', 'relevance_score': '0.5'}]",0.125194,Neutral,"[{'ticker': 'GS', 'relevance_score': '0.107016', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'XOM', 'relevance_score': '0.821469', 'ticker_sentiment_score': '0.024274', 'ticker_sentiment_label': 'Neutral'}]"
ExxonMobil  ( XOM )  Selects Four Firms to Divest Adriatic Assets,https://www.zacks.com/stock/news/2101448/exxonmobil-xom-selects-four-firms-to-divest-adriatic-assets,20230530T134500,['Zacks Investment Research'],ExxonMobil (XOM) is considering divesting its majority stake in Adriatic LNG as part of plans to offload non-core assets to focus on more lucrative prospects.,https://staticx-tuner.zacks.com/images/articles/main/d4/1323.jpg,Zacks Commentary,n/a,www.zacks.com,"[{'topic': 'Retail & Wholesale', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.838487'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]",0.243109,Somewhat-Bullish,"[{'ticker': 'BLK', 'relevance_score': '0.065866', 'ticker_sentiment_score': '0.146311', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'SNMRF', 'relevance_score': '0.131284', 'ticker_sentiment_score': '0.184248', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'PIEJF', 'relevance_score': '0.065866', 'ticker_sentiment_score': '0.218675', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'MUSA', 'relevance_score': '0.259037', 'ticker_sentiment_score': '0.257941', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'SUN', 'relevance_score': '0.259037', 'ticker_sentiment_score': '0.125319', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'XOM', 'relevance_score': '0.437082', 'ticker_sentiment_score': '0.37358', 'ticker_sentiment_label': 'Bullish'}]"
"Following Setbacks, Climate Activists Rethink Their Approach",https://www.nytimes.com/2023/05/30/business/dealbook/climate-shareholder-activists-oil.html,20230530T114112,[],Climate-focused shareholder activists have scored only a few victories in their efforts to push oil giants to adopt cleaner business strategies.,https://static01.nyt.com/images/2023/05/30/multimedia/30db-shell-mpcj/30db-shell-mpcj-articleLarge.jpg?quality=75&auto=webp&disable=upscale,New York Times,Dealbook,www.nytimes.com,"[{'topic': 'Energy & Transportation', 'relevance_score': '0.2'}, {'topic': 'Technology', 'relevance_score': '0.2'}, {'topic': 'Economy - Monetary', 'relevance_score': '0.928139'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.2'}, {'topic': 'Financial Markets', 'relevance_score': '0.266143'}, {'topic': 'Manufacturing', 'relevance_score': '0.2'}, {'topic': 'Earnings', 'relevance_score': '0.310843'}, {'topic': 'Real Estate & Construction', 'relevance_score': '0.2'}]",0.036434,Neutral,"[{'ticker': 'GOOG', 'relevance_score': '0.023079', 'ticker_sentiment_score': '-0.116091', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NVDA', 'relevance_score': '0.046139', 'ticker_sentiment_score': '0.106519', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRWD', 'relevance_score': '0.023079', 'ticker_sentiment_score': '-0.033986', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'DG', 'relevance_score': '0.023079', 'ticker_sentiment_score': '0.113009', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NEWR', 'relevance_score': '0.023079', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NKLA', 'relevance_score': '0.023079', 'ticker_sentiment_score': '0.061363', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'XOM', 'relevance_score': '0.023079', 'ticker_sentiment_score': '-0.034354', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'ATVI', 'relevance_score': '0.023079', 'ticker_sentiment_score': '-0.069558', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'M', 'relevance_score': '0.023079', 'ticker_sentiment_score': '0.113009', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FOREX:TRY', 'relevance_score': '0.023079', 'ticker_sentiment_score': '-0.083671', 'ticker_sentiment_label': 'Neutral'}]"
Should iShares Core High Dividend ETF  ( HDV )  Be on Your Investing Radar?,https://www.zacks.com/stock/news/2101184/should-ishares-core-high-dividend-etf-hdv-be-on-your-investing-radar,20230530T102006,['Zacks Investment Research'],Style Box ETF report for ...,https://staticx-tuner.zacks.com/images/default_article_images/default244.jpg,Zacks Commentary,n/a,www.zacks.com,"[{'topic': 'Life Sciences', 'relevance_score': '0.25'}, {'topic': 'Financial Markets', 'relevance_score': '1.0'}, {'topic': 'Earnings', 'relevance_score': '0.451494'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.25'}, {'topic': 'Technology', 'relevance_score': '0.25'}, {'topic': 'Finance', 'relevance_score': '0.25'}]",0.249472,Somewhat-Bullish,"[{'ticker': 'BLK', 'relevance_score': '0.061949', 'ticker_sentiment_score': '0.117033', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MORN', 'relevance_score': '0.123526', 'ticker_sentiment_score': '0.195615', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'VZ', 'relevance_score': '0.123526', 'ticker_sentiment_score': '0.068619', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'JNJ', 'relevance_score': '0.123526', 'ticker_sentiment_score': '0.068619', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'XOM', 'relevance_score': '0.123526', 'ticker_sentiment_score': '0.068619', 'ticker_sentiment_label': 'Neutral'}]"
