Date,Open,High,Low,Close,Volume
2023-10-09,110.44,112.07,109.52,110.92,22369887
2023-10-06,117.53,117.79,105.11,107.17,92810530
2023-09-29,115.09,120.7,114.83,117.58,82719282
2023-09-22,117.53,118.84,114.6,114.94,66108089
2023-09-15,116.18,118.66,113.565,116.7,97781217
2023-09-08,114.1,116.05,113.23,115.61,59164579
2023-09-01,108.45,113.82,108.42,113.52,64292508
2023-08-25,110.36,110.9793,105.72,108.25,57446557
2023-08-18,111.68,111.98,106.275,110.04,74511579
2023-08-11,107.9,112.07,104.835,111.83,76280215
2023-08-04,105.19,109.24,104.57,107.42,82465784
2023-07-28,104.36,106.99,102.32,104.16,79616126
2023-07-21,100.72,104.38,100.22,103.89,91091874
2023-07-14,102.97,107.65,100.53,100.94,95705689
2023-07-07,107.49,108.46,101.56,103.16,59782238
2023-06-30,102.2,107.875,102.2,107.25,65504055
2023-06-23,104.68,104.77,101.62,102.4,61197526
2023-06-16,105.81,108.34,104.39,105.13,103629609
2023-06-09,107.19,109.14,103.98,107.39,64635304
2023-06-02,103.29,106.13,101.26,105.76,63942864
2023-05-26,105.84,108.51,104.71,104.97,70303522
2023-05-19,105.51,107.05,102.02,106.26,67945757
2023-05-12,110.5,110.97,104.775,105.78,67222465
2023-05-05,115.99,117.3,105.91,108.68,90036779
2023-04-28,115.92,119.92,114.68,118.34,83913321
2023-04-21,115.49,117.21,113.2298,116.01,72711500
2023-04-14,114.78,116.66,114.13,116.05,59614515
2023-04-06,113.39,117.18,113.12,115.05,76710596
2023-03-31,104.74,110.17,103.91,109.66,66068752
2023-03-24,99.63,107.28,99.5,103.53,106378759
2023-03-17,105.34,109.01,98.02,99.84,135418521
2023-03-10,111.99,113.84,107.15,107.78,68139427
2023-03-03,110.8,113.37,109.22,112.81,66367236
2023-02-24,110.81,112.38,108.64,110.75,54083710
2023-02-17,117.72,118.18,110.9799,111.28,72407528
2023-02-10,112.36,119.63,110.32,119.17,90686124
2023-02-03,115.09,117.38,109.83,111.92,110787507
2023-01-27,113.64,117.78,104.87,115.61,78281034
2023-01-20,113.41,114.12,109.58,113.35,62385526
2023-01-13,111.64,113.74,107.81,113.15,77148231
2023-01-06,109.78,111.99,104.76,110.53,65499254
2022-12-30,109.27,110.5,107.902,110.3,44997801
2022-12-23,105.26,108.74,104.1,108.68,66611437
2022-12-16,103.83,108.54,103.1301,104.7,132280363
2022-12-09,110.7,111.36,102.37,103.54,102973408
2022-12-02,110.66,112.07,109.2,109.86,90275603
2022-11-25,109.99,114.61,107.48,113.21,57374764
2022-11-18,112.63,114.64,109.61,112.08,81673779
2022-11-11,112.41,114.6642,107.5701,113.95,90857413
2022-11-04,109.5,113.5,108.31,112.31,103921893
2022-10-28,105.66,111.21,105.07,110.7,96517922
2022-10-21,101.07,106.4,99.23,105.86,89733544
2022-10-14,101.49,102.45,96.75,99.19,84474752
2022-10-07,90.04,103.315,89.72,101.03,134505105
2022-09-30,84.9,89.3582,83.89,87.31,98147539
2022-09-23,91.01,93.88,84.85,85.75,90692418
2022-09-16,97.65,99.19,92.0,93.21,115970725
2022-09-09,96.16,97.0,92.3,96.5,71154741
2022-09-02,98.18,101.555,92.2901,95.59,93057366
2022-08-26,93.42,99.91,91.86,97.87,87672070
2022-08-19,90.53,95.31,89.66,94.08,82370410
2022-08-12,88.61,94.3,88.22,94.0,85708652
2022-08-05,94.79,95.35,86.28,88.45,110325969
2022-07-29,88.16,97.515,87.42,96.93,100903438
2022-07-22,86.58,89.65,85.21,87.08,91084268
2022-07-15,85.17,86.3126,80.69,84.54,100136744
2022-07-08,86.34,87.3,81.01,86.08,109468233
2022-07-01,87.81,93.24,84.67,87.55,150278544
2022-06-24,88.58,92.53,83.52,86.9,128117285
2022-06-17,97.52,98.67,85.655,86.12,194612793
2022-06-10,99.18,105.57,98.67,100.46,147698121
2022-06-03,98.56,99.775,95.705,99.09,110830762
2022-05-27,92.66,97.93,92.32,97.59,131384131
2022-05-20,88.98,93.59,88.97,91.86,127855523
2022-05-13,89.44,89.56,83.4,88.86,168645427
2022-05-06,85.01,92.05,84.63,91.69,186962641
2022-04-29,82.37,88.14,79.29,85.25,167666002
2022-04-22,88.5,89.8,85.0,85.13,112509708
2022-04-14,85.78,88.46,83.5,87.83,88117544
2022-04-08,83.56,87.21,82.05,86.84,118334289
2022-04-01,83.17,84.4,79.76,83.12,117200176
2022-03-25,80.12,85.49,79.74,85.2,125120555
2022-03-18,83.06,83.45,76.25,78.67,197790538
2022-03-11,84.92,91.505,81.6,84.92,272704432
2022-03-04,76.51,84.275,76.2,84.09,189569486
2022-02-25,79.67,79.79,74.03,77.84,135680493
2022-02-18,79.58,79.84,76.42,77.36,128609632
2022-02-11,81.14,83.08,77.792,80.21,179941349
2022-02-04,74.97,82.53,74.265,81.41,188144824
2022-01-28,70.88,76.01,69.805,75.28,175877280
2022-01-21,72.82,74.37,71.04,72.17,119802797
2022-01-14,68.97,72.145,67.95,71.87,121769483
2022-01-07,61.24,69.18,61.21,68.88,151561423
2021-12-31,60.93,62.31,60.42,61.19,64057560
2021-12-23,58.79,61.84,57.96,61.02,69219825
2021-12-17,62.47,62.72,59.69,60.03,125949443
2021-12-10,61.72,63.35,61.4199,63.01,92078023
2021-12-03,62.57,63.14,59.14,60.89,135827098
2021-11-26,60.32,63.845,59.54,61.25,84033925
2021-11-19,63.76,65.37,60.41,60.67,100358510
2021-11-12,65.55,66.38,63.58,63.82,87793442
2021-11-05,65.065,66.0795,63.66,65.02,89402961
2021-10-29,63.72,65.94,63.58,64.47,105882056
2021-10-22,63.09,63.8725,62.27,63.12,82352589
2021-10-15,63.03,63.07,60.21,62.59,91998866
2021-10-08,61.32,62.695,59.75,62.18,130573648
2021-10-01,58.85,60.99,58.81,60.93,149711280
2021-09-24,53.78,57.82,52.96,57.59,118340455
2021-09-17,54.65,56.75,54.41,55.16,113175078
2021-09-10,54.67,55.27,53.3,53.98,67347607
2021-09-03,56.24,56.34,53.6,54.87,99984438
2021-08-27,53.95,56.2139,53.95,55.77,80483564
2021-08-20,56.02,56.2967,52.1,52.74,102945006
2021-08-13,57.13,58.5,56.3,56.77,91605078
2021-08-06,57.55,59.06,56.81,57.86,90018946
2021-07-30,57.16,59.33,57.0,57.57,99225298
2021-07-23,55.64,58.3,54.595,57.04,113215909
2021-07-16,60.42,61.73,57.15,57.32,103430966
2021-07-09,62.75,62.76,59.31,61.23,82804107
2021-07-02,64.56,64.56,62.421,63.17,95124589
2021-06-25,60.93,64.925,60.9,64.66,116994112
2021-06-18,62.3,64.8,60.24,60.4,140552546
2021-06-11,61.33,63.975,60.67,62.17,118684793
2021-06-04,59.45,61.7,59.45,61.45,92153074
2021-05-28,59.08,59.8,57.9,58.37,118521104
2021-05-21,60.54,62.3,58.24,58.92,120828294
2021-05-14,63.24,64.02,58.75,60.77,145950441
2021-05-07,57.98,62.47,57.74,62.43,136005357
2021-04-30,55.47,59.48,55.44,57.24,117928885
2021-04-23,56.75,57.14,54.3,55.57,96472510
2021-04-16,56.755,58.01,55.09,56.66,113662803
2021-04-09,57.3,57.5399,55.32,55.87,106596111
2021-04-01,57.34,57.82,55.8,57.39,88328754
